TAVG,FF_AVG,RH_AVG,SS,DDD_X,DDD_CAR,TAVG^2,TAVG FF_AVG,TAVG RH_AVG,TAVG SS,TAVG DDD_X,TAVG DDD_CAR,FF_AVG^2,FF_AVG RH_AVG,FF_AVG SS,FF_AVG DDD_X,FF_AVG DDD_CAR,RH_AVG^2,RH_AVG SS,RH_AVG DDD_X,RH_AVG DDD_CAR,SS^2,SS DDD_X,SS DDD_CAR,DDD_X^2,DDD_X DDD_CAR,DDD_CAR^2,RR
26.6,1.0,90.0,6.4,200.0,0.0,707.5600000000001,26.6,2394.0,170.24,5320.0,0.0,1.0,90.0,6.4,200.0,0.0,8100.0,576.0,18000.0,0.0,40.96000000000001,1280.0,0.0,40000.0,0.0,0.0,2.2
28.6,1.0,82.0,2.1,130.0,0.0,817.96,28.6,2345.2000000000003,60.06,3718.0,0.0,1.0,82.0,2.1,130.0,0.0,6724.0,172.20000000000002,10660.0,0.0,4.41,273.0,0.0,16900.0,0.0,0.0,52.2
26.7,1.0,92.0,5.5,90.0,90.0,712.89,26.7,2456.4,146.85,2403.0,2403.0,1.0,92.0,5.5,90.0,90.0,8464.0,506.0,8280.0,8280.0,30.25,495.0,495.0,8100.0,8100.0,8100.0,0.8
29.7,2.0,77.0,0.1,190.0,225.0,882.0899999999999,59.4,2286.9,2.97,5643.0,6682.5,4.0,154.0,0.2,380.0,450.0,5929.0,7.7,14630.0,17325.0,0.010000000000000002,19.0,22.5,36100.0,42750.0,50625.0,17.5
29.9,2.0,74.0,6.3,130.0,135.0,894.0099999999999,59.8,2212.6,188.36999999999998,3887.0,4036.5,4.0,148.0,12.6,260.0,270.0,5476.0,466.2,9620.0,9990.0,39.69,819.0,850.5,16900.0,17550.0,18225.0,8.7
29.2,2.0,80.0,8.2,260.0,0.0,852.64,58.4,2336.0,239.43999999999997,7592.0,0.0,4.0,160.0,16.4,520.0,0.0,6400.0,656.0,20800.0,0.0,67.24,2132.0,0.0,67600.0,0.0,0.0,0.4
30.1,1.0,71.0,8.4,170.0,0.0,906.0100000000001,30.1,2137.1,252.84000000000003,5117.0,0.0,1.0,71.0,8.4,170.0,0.0,5041.0,596.4,12070.0,0.0,70.56,1428.0,0.0,28900.0,0.0,0.0,3.4
29.5,1.0,74.0,9.0,150.0,0.0,870.25,29.5,2183.0,265.5,4425.0,0.0,1.0,74.0,9.0,150.0,0.0,5476.0,666.0,11100.0,0.0,81.0,1350.0,0.0,22500.0,0.0,0.0,0.0
29.5,2.0,76.0,4.5,250.0,270.0,870.25,59.0,2242.0,132.75,7375.0,7965.0,4.0,152.0,9.0,500.0,540.0,5776.0,342.0,19000.0,20520.0,20.25,1125.0,1215.0,62500.0,67500.0,72900.0,0.0
29.4,1.0,74.0,6.6,260.0,0.0,864.3599999999999,29.4,2175.6,194.04,7644.0,0.0,1.0,74.0,6.6,260.0,0.0,5476.0,488.4,19240.0,0.0,43.559999999999995,1716.0,0.0,67600.0,0.0,0.0,0.9
